"year","month","births"
2012,"January",129
2012,"February",118
2012,"March",140
2012,"April",150
2012,"May",185
2012,"June",116
2012,"July",137
2012,"August",150
2012,"September",131
2012,"October",127
2012,"November",132
2012,"December",130
2013,"January",159
2013,"February",115
2013,"March",107
2013,"April",157
2013,"May",147
2013,"June",123
2013,"July",144
2013,"August",127
2013,"September",117
2013,"October",124
2013,"November",112
2013,"December",134
2014,"January",138
2014,"February",89
2014,"March",159
2014,"April",137
2014,"May",149
2014,"June",105
2014,"July",165
2014,"August",119
2014,"September",124
2014,"October",130
2014,"November",126
2014,"December",116
2015,"January",112
2015,"February",130
2015,"March",108
2015,"April",161
2015,"May",135
2015,"June",164
2015,"July",153
2015,"August",110
2015,"September",119
2015,"October",123
2015,"November",136
2015,"December",141
2016,"January",123
2016,"February",115
2016,"March",125
2016,"April",147
2016,"May",171
2016,"June",160
2016,"July",142
2016,"August",137
2016,"September",140
2016,"October",118
2016,"November",145
2016,"December",122
2018,"January",142
2018,"February",90
2018,"March",141
2018,"April",145
2018,"May",155
2018,"June",139
2018,"July",165
2018,"August",147
2018,"September",137
2018,"October",147
2018,"November",141
2018,"December",101
2017,"January",110
2017,"February",94
2017,"March",137
2017,"April",147
2017,"May",177
2017,"June",145
2017,"July",152
2017,"August",137
2017,"September",130
2017,"October",153
2017,"November",139
2017,"December",130
2019,"January",145
2019,"February",103
2019,"March",136
2019,"April",148
2019,"May",152
2019,"June",124
2019,"July",146
2019,"August",139
2019,"September",140
2019,"October",125
2019,"November",130
2019,"December",117
2020,"January",114
2020,"February",111
2020,"March",120
2020,"April",58
2020,"May",168
2020,"June",156
2020,"July",160
2020,"August",158
2020,"September",114
2020,"October",144
2020,"November",120
2020,"December",131
2021,"January",67
2021,"February",83
2021,"March",185
2021,"April",148
2021,"May",143
2021,"June",140
2021,"July",157
2021,"August",169
2021,"September",179
2021,"October",142
2021,"November",134
2021,"December",118
2023,"January",105
2023,"February",115
2023,"March",142
2023,"April",108
2023,"May",145
2023,"June",157
2023,"July",127
2023,"August",127
2023,"September",151
2023,"October",142
2023,"November",128
2023,"December",106
2024,"January",99
2024,"February",108
2024,"March",103
2024,"April",141
2024,"May",131
2024,"June",100
2024,"July",127
2024,"August",105
2024,"September",95
2024,"October",103
2024,"November",100
2024,"December",121
